orden,columna,bloque,componente,variable_base,tipo_pandas_muestra
365,vmax60_sd,resultado_fvl,sd,vmax60,float64
366,vmax60_cv,resultado_fvl,cv,vmax60,float64
367,vmax60_skewness,resultado_fvl,skewness,vmax60,float64
368,vmax60_pre,resultado_fvl,pre,vmax60,float64
369,vmax60_post,resultado_fvl,post,vmax60,float64
370,vmax70_predicted,resultado_fvl,predicted,vmax70,float64
371,vmax70_sd,resultado_fvl,sd,vmax70,float64
372,vmax70_cv,resultado_fvl,cv,vmax70,float64
373,vmax70_skewness,resultado_fvl,skewness,vmax70,float64
374,vmax70_pre,resultado_fvl,pre,vmax70,float64
375,vmax70_post,resultado_fvl,post,vmax70,float64
376,vmax80_predicted,resultado_fvl,predicted,vmax80,float64
377,vmax80_sd,resultado_fvl,sd,vmax80,float64
378,vmax80_cv,resultado_fvl,cv,vmax80,float64
379,vmax80_skewness,resultado_fvl,skewness,vmax80,float64
380,vmax80_pre,resultado_fvl,pre,vmax80,float64
381,vmax80_post,resultado_fvl,post,vmax80,float64
382,volpalvpk_predicted,resultado_fvl,predicted,volpalvpk,float64
383,volpalvpk_sd,resultado_fvl,sd,volpalvpk,float64
384,volpalvpk_cv,resultado_fvl,cv,volpalvpk,float64
385,volpalvpk_skewness,resultado_fvl,skewness,volpalvpk,float64
386,volpalvpk_pre,resultado_fvl,pre,volpalvpk,float64
387,volpalvpk_post,resultado_fvl,post,volpalvpk,float64
388,volextrap_percent_predicted_pre,resultado_fvl,percent_predicted_pre,volextrap,float64
389,volextrap_zscore_pre,resultado_fvl,zscore_pre,volextrap,float64
390,volextrap_percent_predicted_post,resultado_fvl,percent_predicted_post,volextrap,float64
391,volextrap_zscore_post,resultado_fvl,zscore_post,volextrap,float64
392,exptime_percent_predicted_pre,resultado_fvl,percent_predicted_pre,exptime,float64
393,exptime_zscore_pre,resultado_fvl,zscore_pre,exptime,float64
394,exptime_percent_predicted_post,resultado_fvl,percent_predicted_post,exptime,float64
395,exptime_zscore_post,resultado_fvl,zscore_post,exptime,float64
396,fef10_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef10,float64
397,fef10_zscore_pre,resultado_fvl,zscore_pre,fef10,float64
398,fef10_percent_predicted_post,resultado_fvl,percent_predicted_post,fef10,float64
399,fef10_zscore_post,resultado_fvl,zscore_post,fef10,float64
400,fef2001200_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef2001200,float64
401,fef2001200_zscore_pre,resultado_fvl,zscore_pre,fef2001200,float64
402,fef2001200_percent_predicted_post,resultado_fvl,percent_predicted_post,fef2001200,float64
403,fef2001200_zscore_post,resultado_fvl,zscore_post,fef2001200,float64
404,fef25_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef25,float64
405,fef25_zscore_pre,resultado_fvl,zscore_pre,fef25,float64
406,fef25_percent_predicted_post,resultado_fvl,percent_predicted_post,fef25,float64
407,fef25_zscore_post,resultado_fvl,zscore_post,fef25,float64
408,fef2575_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef2575,float64
409,fef2575_zscore_pre,resultado_fvl,zscore_pre,fef2575,float64
410,fef2575_percent_predicted_post,resultado_fvl,percent_predicted_post,fef2575,float64
411,fef2575_zscore_post,resultado_fvl,zscore_post,fef2575,float64
412,fef40_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef40,float64
413,fef40_zscore_pre,resultado_fvl,zscore_pre,fef40,float64
414,fef40_percent_predicted_post,resultado_fvl,percent_predicted_post,fef40,float64
415,fef40_zscore_post,resultado_fvl,zscore_post,fef40,float64
416,fef50_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef50,float64
417,fef50_zscore_pre,resultado_fvl,zscore_pre,fef50,float64
418,fef50_percent_predicted_post,resultado_fvl,percent_predicted_post,fef50,float64
419,fef50_zscore_post,resultado_fvl,zscore_post,fef50,float64
420,fef60_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef60,float64
421,fef60_zscore_pre,resultado_fvl,zscore_pre,fef60,float64
422,fef60_percent_predicted_post,resultado_fvl,percent_predicted_post,fef60,float64
423,fef60_zscore_post,resultado_fvl,zscore_post,fef60,float64
424,fef70_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef70,float64
425,fef70_zscore_pre,resultado_fvl,zscore_pre,fef70,float64
426,fef70_percent_predicted_post,resultado_fvl,percent_predicted_post,fef70,float64
427,fef70_zscore_post,resultado_fvl,zscore_post,fef70,float64
428,fef75_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef75,float64
429,fef75_zscore_pre,resultado_fvl,zscore_pre,fef75,float64
430,fef75_percent_predicted_post,resultado_fvl,percent_predicted_post,fef75,float64
431,fef75_zscore_post,resultado_fvl,zscore_post,fef75,float64
432,fef7585_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef7585,float64
433,fef7585_zscore_pre,resultado_fvl,zscore_pre,fef7585,float64
434,fef7585_percent_predicted_post,resultado_fvl,percent_predicted_post,fef7585,float64
435,fef7585_zscore_post,resultado_fvl,zscore_post,fef7585,float64
436,fef80_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef80,float64
437,fef80_zscore_pre,resultado_fvl,zscore_pre,fef80,float64
438,fef80_percent_predicted_post,resultado_fvl,percent_predicted_post,fef80,float64
439,fef80_zscore_post,resultado_fvl,zscore_post,fef80,float64
440,fef85_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef85,float64
441,fef85_zscore_pre,resultado_fvl,zscore_pre,fef85,float64
442,fef85_percent_predicted_post,resultado_fvl,percent_predicted_post,fef85,float64
443,fef85_zscore_post,resultado_fvl,zscore_post,fef85,float64
444,fef90_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef90,float64
445,fef90_zscore_pre,resultado_fvl,zscore_pre,fef90,float64
446,fef90_percent_predicted_post,resultado_fvl,percent_predicted_post,fef90,float64
447,fef90_zscore_post,resultado_fvl,zscore_post,fef90,float64
448,fefmax_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fefmax,float64
449,fefmax_zscore_pre,resultado_fvl,zscore_pre,fefmax,float64
450,fefmax_percent_predicted_post,resultado_fvl,percent_predicted_post,fefmax,float64
451,fefmax_zscore_post,resultado_fvl,zscore_post,fefmax,float64
452,fefmaxfev6_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fefmaxfev6,float64
453,fefmaxfev6_zscore_pre,resultado_fvl,zscore_pre,fefmaxfev6,float64
454,fefmaxfev6_percent_predicted_post,resultado_fvl,percent_predicted_post,fefmaxfev6,float64
455,fefmaxfev6_zscore_post,resultado_fvl,zscore_post,fefmaxfev6,float64
456,fefmaxfvc_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fefmaxfvc,float64
457,fefmaxfvc_zscore_pre,resultado_fvl,zscore_pre,fefmaxfvc,float64
458,fefmaxfvc_percent_predicted_post,resultado_fvl,percent_predicted_post,fefmaxfvc,float64
459,fefmaxfvc_zscore_post,resultado_fvl,zscore_post,fefmaxfvc,float64
460,fef50fif50_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef50fif50,float64
461,fef50fif50_zscore_pre,resultado_fvl,zscore_pre,fef50fif50,float64
462,fef50fif50_percent_predicted_post,resultado_fvl,percent_predicted_post,fef50fif50,float64
463,fef50fif50_zscore_post,resultado_fvl,zscore_post,fef50fif50,float64
464,fef50fvc_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef50fvc,float64
465,fef50fvc_zscore_pre,resultado_fvl,zscore_pre,fef50fvc,float64
466,fef50fvc_percent_predicted_post,resultado_fvl,percent_predicted_post,fef50fvc,float64
467,fef50fvc_zscore_post,resultado_fvl,zscore_post,fef50fvc,float64
468,fef75fvc_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef75fvc,float64
469,fef75fvc_zscore_pre,resultado_fvl,zscore_pre,fef75fvc,float64
470,fef75fvc_percent_predicted_post,resultado_fvl,percent_predicted_post,fef75fvc,float64
471,fef75fvc_zscore_post,resultado_fvl,zscore_post,fef75fvc,float64
472,fet2575_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fet2575,float64
473,fet2575_zscore_pre,resultado_fvl,zscore_pre,fet2575,float64
474,fet2575_percent_predicted_post,resultado_fvl,percent_predicted_post,fet2575,float64
475,fet2575_zscore_post,resultado_fvl,zscore_post,fet2575,float64
476,fev05_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev05,float64
477,fev05_zscore_pre,resultado_fvl,zscore_pre,fev05,float64
478,fev05_percent_predicted_post,resultado_fvl,percent_predicted_post,fev05,float64
479,fev05_zscore_post,resultado_fvl,zscore_post,fev05,float64
480,fev05fev6_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev05fev6,float64
481,fev05fev6_zscore_pre,resultado_fvl,zscore_pre,fev05fev6,float64
482,fev05fev6_percent_predicted_post,resultado_fvl,percent_predicted_post,fev05fev6,float64
483,fev05fev6_zscore_post,resultado_fvl,zscore_post,fev05fev6,float64
484,fev05fvc_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev05fvc,float64
485,fev05fvc_zscore_pre,resultado_fvl,zscore_pre,fev05fvc,float64
486,fev05fvc_percent_predicted_post,resultado_fvl,percent_predicted_post,fev05fvc,float64
487,fev05fvc_zscore_post,resultado_fvl,zscore_post,fev05fvc,float64
488,fev075_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev075,float64
489,fev075_zscore_pre,resultado_fvl,zscore_pre,fev075,float64
490,fev075_percent_predicted_post,resultado_fvl,percent_predicted_post,fev075,float64
491,fev075_zscore_post,resultado_fvl,zscore_post,fev075,float64
492,fev1_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev1,float64
493,fev1_zscore_pre,resultado_fvl,zscore_pre,fev1,float64
494,fev1_percent_predicted_post,resultado_fvl,percent_predicted_post,fev1,float64
495,fev1_zscore_post,resultado_fvl,zscore_post,fev1,float64
496,fev1fev6_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev1fev6,float64
497,fev1fev6_zscore_pre,resultado_fvl,zscore_pre,fev1fev6,float64
498,fev1fev6_percent_predicted_post,resultado_fvl,percent_predicted_post,fev1fev6,float64
499,fev1fev6_zscore_post,resultado_fvl,zscore_post,fev1fev6,float64
500,fev1fvc_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev1fvc,float64
501,fev1fvc_zscore_pre,resultado_fvl,zscore_pre,fev1fvc,float64
502,fev1fvc_percent_predicted_post,resultado_fvl,percent_predicted_post,fev1fvc,float64
503,fev1fvc_zscore_post,resultado_fvl,zscore_post,fev1fvc,float64
504,fev1svc_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev1svc,float64
505,fev1svc_zscore_pre,resultado_fvl,zscore_pre,fev1svc,float64
506,fev1svc_percent_predicted_post,resultado_fvl,percent_predicted_post,fev1svc,float64
507,fev1svc_zscore_post,resultado_fvl,zscore_post,fev1svc,float64
508,fev10_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev10,float64
509,fev10_zscore_pre,resultado_fvl,zscore_pre,fev10,float64
510,fev10_percent_predicted_post,resultado_fvl,percent_predicted_post,fev10,float64
511,fev10_zscore_post,resultado_fvl,zscore_post,fev10,float64
512,fev2_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev2,float64
513,fev2_zscore_pre,resultado_fvl,zscore_pre,fev2,float64
514,fev2_percent_predicted_post,resultado_fvl,percent_predicted_post,fev2,float64
515,fev2_zscore_post,resultado_fvl,zscore_post,fev2,float64
516,fev2fev6_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev2fev6,float64
517,fev2fev6_zscore_pre,resultado_fvl,zscore_pre,fev2fev6,float64
518,fev2fev6_percent_predicted_post,resultado_fvl,percent_predicted_post,fev2fev6,float64
519,fev2fev6_zscore_post,resultado_fvl,zscore_post,fev2fev6,float64
520,fev2fvc_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev2fvc,float64
521,fev2fvc_zscore_pre,resultado_fvl,zscore_pre,fev2fvc,float64
522,fev2fvc_percent_predicted_post,resultado_fvl,percent_predicted_post,fev2fvc,float64
523,fev2fvc_zscore_post,resultado_fvl,zscore_post,fev2fvc,float64
524,fev3_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev3,float64
525,fev3_zscore_pre,resultado_fvl,zscore_pre,fev3,float64
526,fev3_percent_predicted_post,resultado_fvl,percent_predicted_post,fev3,float64
527,fev3_zscore_post,resultado_fvl,zscore_post,fev3,float64
528,fev3fev6_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev3fev6,float64
529,fev3fev6_zscore_pre,resultado_fvl,zscore_pre,fev3fev6,float64
530,fev3fev6_percent_predicted_post,resultado_fvl,percent_predicted_post,fev3fev6,float64
531,fev3fev6_zscore_post,resultado_fvl,zscore_post,fev3fev6,float64
532,fev3fvc_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev3fvc,float64
533,fev3fvc_zscore_pre,resultado_fvl,zscore_pre,fev3fvc,float64
534,fev3fvc_percent_predicted_post,resultado_fvl,percent_predicted_post,fev3fvc,float64
535,fev3fvc_zscore_post,resultado_fvl,zscore_post,fev3fvc,float64
536,fev6_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev6,float64
537,fev6_zscore_pre,resultado_fvl,zscore_pre,fev6,float64
538,fev6_percent_predicted_post,resultado_fvl,percent_predicted_post,fev6,float64
539,fev6_zscore_post,resultado_fvl,zscore_post,fev6,float64
540,fev6fvc_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev6fvc,float64
541,fev6fvc_zscore_pre,resultado_fvl,zscore_pre,fev6fvc,float64
542,fev6fvc_percent_predicted_post,resultado_fvl,percent_predicted_post,fev6fvc,float64
543,fev6fvc_zscore_post,resultado_fvl,zscore_post,fev6fvc,float64
544,fev7_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fev7,float64
545,fev7_zscore_pre,resultado_fvl,zscore_pre,fev7,float64
546,fev7_percent_predicted_post,resultado_fvl,percent_predicted_post,fev7,float64
547,fev7_zscore_post,resultado_fvl,zscore_post,fev7,float64
548,fif25_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fif25,float64
549,fif25_zscore_pre,resultado_fvl,zscore_pre,fif25,float64
550,fif25_percent_predicted_post,resultado_fvl,percent_predicted_post,fif25,float64
551,fif25_zscore_post,resultado_fvl,zscore_post,fif25,float64
552,fif2575_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fif2575,float64
553,fif2575_zscore_pre,resultado_fvl,zscore_pre,fif2575,float64
554,fif2575_percent_predicted_post,resultado_fvl,percent_predicted_post,fif2575,float64
555,fif2575_zscore_post,resultado_fvl,zscore_post,fif2575,float64
556,fif50_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fif50,float64
557,fif50_zscore_pre,resultado_fvl,zscore_pre,fif50,float64
558,fif50_percent_predicted_post,resultado_fvl,percent_predicted_post,fif50,float64
559,fif50_zscore_post,resultado_fvl,zscore_post,fif50,float64
560,fif75_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fif75,float64
561,fif75_zscore_pre,resultado_fvl,zscore_pre,fif75,float64
562,fif75_percent_predicted_post,resultado_fvl,percent_predicted_post,fif75,float64
563,fif75_zscore_post,resultado_fvl,zscore_post,fif75,float64
564,fifmax_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fifmax,float64
565,fifmax_zscore_pre,resultado_fvl,zscore_pre,fifmax,float64
566,fifmax_percent_predicted_post,resultado_fvl,percent_predicted_post,fifmax,float64
567,fifmax_zscore_post,resultado_fvl,zscore_post,fifmax,float64
568,fiv1_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fiv1,float64
569,fiv1_zscore_pre,resultado_fvl,zscore_pre,fiv1,float64
570,fiv1_percent_predicted_post,resultado_fvl,percent_predicted_post,fiv1,float64
571,fiv1_zscore_post,resultado_fvl,zscore_post,fiv1,float64
572,fiv1fivc_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fiv1fivc,float64
573,fiv1fivc_zscore_pre,resultado_fvl,zscore_pre,fiv1fivc,float64
574,fiv1fivc_percent_predicted_post,resultado_fvl,percent_predicted_post,fiv1fivc,float64
575,fiv1fivc_zscore_post,resultado_fvl,zscore_post,fiv1fivc,float64
576,fivc_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fivc,float64
577,fivc_zscore_pre,resultado_fvl,zscore_pre,fivc,float64
578,fivc_percent_predicted_post,resultado_fvl,percent_predicted_post,fivc,float64
579,fivc_zscore_post,resultado_fvl,zscore_post,fivc,float64
580,fvc_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fvc,float64
581,fvc_zscore_pre,resultado_fvl,zscore_pre,fvc,float64
582,fvc_percent_predicted_post,resultado_fvl,percent_predicted_post,fvc,float64
583,fvc_zscore_post,resultado_fvl,zscore_post,fvc,float64
584,fvcmeantr_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fvcmeantr,float64
585,fvcmeantr_zscore_pre,resultado_fvl,zscore_pre,fvcmeantr,float64
586,fvcmeantr_percent_predicted_post,resultado_fvl,percent_predicted_post,fvcmeantr,float64
587,fvcmeantr_zscore_post,resultado_fvl,zscore_post,fvcmeantr,float64
588,mp30_percent_predicted_pre,resultado_fvl,percent_predicted_pre,mp30,float64
589,mp30_zscore_pre,resultado_fvl,zscore_pre,mp30,float64
590,mp30_percent_predicted_post,resultado_fvl,percent_predicted_post,mp30,float64
591,mp30_zscore_post,resultado_fvl,zscore_post,mp30,float64
592,mmet_percent_predicted_pre,resultado_fvl,percent_predicted_pre,mmet,float64
593,mmet_zscore_pre,resultado_fvl,zscore_pre,mmet,float64
594,mmet_percent_predicted_post,resultado_fvl,percent_predicted_post,mmet,float64
595,mmet_zscore_post,resultado_fvl,zscore_post,mmet,float64
596,palvpeak_percent_predicted_pre,resultado_fvl,percent_predicted_pre,palvpeak,float64
597,palvpeak_zscore_pre,resultado_fvl,zscore_pre,palvpeak,float64
598,palvpeak_percent_predicted_post,resultado_fvl,percent_predicted_post,palvpeak,float64
599,palvpeak_zscore_post,resultado_fvl,zscore_post,palvpeak,float64
600,pef_percent_predicted_pre,resultado_fvl,percent_predicted_pre,pef,float64
601,pef_zscore_pre,resultado_fvl,zscore_pre,pef,float64
602,pef_percent_predicted_post,resultado_fvl,percent_predicted_post,pef,float64
603,pef_zscore_post,resultado_fvl,zscore_post,pef,float64
604,tofefmax_percent_predicted_pre,resultado_fvl,percent_predicted_pre,tofefmax,float64
605,tofefmax_zscore_pre,resultado_fvl,zscore_pre,tofefmax,float64
606,tofefmax_percent_predicted_post,resultado_fvl,percent_predicted_post,tofefmax,float64
607,tofefmax_zscore_post,resultado_fvl,zscore_post,tofefmax,float64
608,vmax60_percent_predicted_pre,resultado_fvl,percent_predicted_pre,vmax60,float64
609,vmax60_zscore_pre,resultado_fvl,zscore_pre,vmax60,float64
610,vmax60_percent_predicted_post,resultado_fvl,percent_predicted_post,vmax60,float64
611,vmax60_zscore_post,resultado_fvl,zscore_post,vmax60,float64
612,vmax70_percent_predicted_pre,resultado_fvl,percent_predicted_pre,vmax70,float64
613,vmax70_zscore_pre,resultado_fvl,zscore_pre,vmax70,float64
614,vmax70_percent_predicted_post,resultado_fvl,percent_predicted_post,vmax70,float64
615,vmax70_zscore_post,resultado_fvl,zscore_post,vmax70,float64
616,vmax80_percent_predicted_pre,resultado_fvl,percent_predicted_pre,vmax80,float64
617,vmax80_zscore_pre,resultado_fvl,zscore_pre,vmax80,float64
618,vmax80_percent_predicted_post,resultado_fvl,percent_predicted_post,vmax80,float64
619,vmax80_zscore_post,resultado_fvl,zscore_post,vmax80,float64
620,volpalvpk_percent_predicted_pre,resultado_fvl,percent_predicted_pre,volpalvpk,float64
621,volpalvpk_zscore_pre,resultado_fvl,zscore_pre,volpalvpk,float64
622,volpalvpk_percent_predicted_post,resultado_fvl,percent_predicted_post,volpalvpk,float64
623,volpalvpk_zscore_post,resultado_fvl,zscore_post,volpalvpk,float64
